OverallQual,OverallCond,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,SalePrice,Age
7,5,1,0,2,1,3,1,8,0,2,208500,5
6,8,0,1,2,0,3,1,6,1,2,181500,31
7,5,1,0,2,1,3,1,6,1,2,223500,7
7,5,1,0,1,0,3,1,7,1,3,140000,91
8,5,1,0,2,1,4,1,9,1,3,250000,8
5,5,1,0,1,1,1,1,5,0,2,143000,16
8,5,1,0,2,0,3,1,7,1,2,307000,3
7,6,1,0,2,1,3,1,7,2,2,200000,36
7,5,0,0,2,0,2,2,8,2,2,129900,77
5,6,1,0,1,0,2,2,5,2,1,118000,69
5,5,1,0,1,0,3,1,5,0,1,129500,43
9,5,1,0,3,0,4,1,11,2,3,345000,1
5,6,1,0,1,0,2,1,4,0,1,144000,46
7,5,0,0,2,0,3,1,7,1,3,279500,1
6,5,1,0,1,1,2,1,5,1,1,157000,48
7,8,0,0,1,0,2,1,5,0,2,132000,78
6,7,1,0,1,0,2,1,5,1,2,149000,40
4,5,0,0,2,0,2,2,6,0,2,90000,39
5,5,1,0,1,1,3,1,6,0,2,159000,4
5,6,0,0,1,0,3,1,6,0,1,139000,51
8,5,0,0,3,1,4,1,9,1,3,325300,1
7,7,0,0,1,0,3,1,6,1,1,139400,77
8,5,0,0,2,0,3,1,7,1,2,230000,6
5,7,1,0,1,0,3,1,6,1,2,129900,31
5,8,1,0,1,0,3,1,6,1,1,154000,42
8,5,0,0,2,0,3,1,7,1,3,256300,2
5,7,0,1,1,0,3,1,5,0,2,134800,59
8,5,1,0,2,0,3,1,7,1,3,306000,3
5,6,1,0,1,0,2,1,6,2,1,207500,49
4,6,0,0,1,0,1,1,4,0,1,68500,81
4,4,0,0,1,0,3,1,6,0,1,40000,88
5,6,0,0,1,1,3,1,6,0,1,149350,42
8,5,0,0,2,0,3,1,7,0,2,179900,1
5,5,0,1,1,1,4,1,6,1,2,165500,51
9,5,1,0,2,0,2,1,6,1,2,277500,2
8,5,0,0,3,1,4,1,9,1,3,309000,2
5,5,0,0,1,1,3,1,6,0,2,145000,15
5,6,0,1,1,0,3,1,5,1,2,153000,55
5,7,1,0,1,0,3,1,5,0,1,109000,57
4,5,0,0,2,0,2,2,6,0,0,82000,53
6,5,0,0,2,0,3,1,6,1,2,160000,41
5,6,0,1,1,1,2,1,5,2,1,170000,48
5,7,1,0,1,0,2,1,5,0,2,144000,24
5,6,1,0,1,0,3,1,5,0,1,130250,33
5,6,1,0,1,0,3,1,6,0,1,141000,47
9,5,1,0,2,0,2,1,6,1,2,319900,5
7,5,1,0,1,1,1,1,6,1,2,239686,6
8,5,0,0,2,0,3,1,7,0,3,249700,1
4,5,0,0,2,0,2,3,8,0,0,113000,89
5,7,1,0,1,0,3,1,6,0,1,127000,41
6,6,0,1,2,0,3,1,6,0,2,177000,10
6,6,0,0,1,0,3,1,6,1,2,114500,72
5,5,1,0,1,0,2,1,5,0,2,110000,47
9,5,2,0,0,1,0,1,5,1,3,385000,25
5,5,0,0,1,0,3,1,6,1,2,130000,52
6,5,0,0,2,0,3,1,7,1,2,180500,44
8,5,1,0,2,1,3,1,7,0,2,172500,10
7,5,0,0,2,1,3,1,7,0,2,196500,2
10,5,0,0,3,1,3,1,10,1,3,438780,0
5,7,0,0,1,0,2,1,4,0,1,124900,36
6,5,1,0,1,1,3,1,5,0,2,158000,2
5,7,0,0,1,0,3,1,6,0,1,101000,87
8,5,0,0,2,0,2,1,6,1,2,202500,1
7,6,0,0,2,0,3,1,9,0,2,140000,89
7,5,1,0,2,1,3,1,8,0,2,219500,12
8,5,0,0,2,1,4,1,9,1,3,317000,3
7,5,1,0,2,0,3,1,7,1,2,180000,40
7,5,1,0,2,0,3,1,7,0,2,226000,4
4,6,0,0,1,0,2,1,4,0,1,80000,65
7,4,0,0,2,0,3,1,7,1,2,225000,53
7,6,1,0,2,0,3,1,8,2,2,244000,34
4,6,1,0,1,0,2,1,4,0,2,129500,25
7,5,0,0,2,1,3,1,7,1,2,185000,11
5,7,1,0,1,0,3,1,6,0,2,144900,56
3,6,0,0,2,0,3,2,8,0,1,107400,95
4,5,1,0,1,0,2,1,5,0,1,91000,36
4,7,0,0,1,0,2,1,4,0,1,135750,52
5,5,1,0,1,0,2,1,6,0,1,127000,60
4,5,0,0,2,0,4,2,8,0,0,136500,42
5,6,0,0,1,1,2,1,5,0,2,110000,99
6,6,0,0,2,1,4,1,8,1,1,193500,41
6,5,1,0,2,0,2,1,5,0,2,153500,8
8,5,0,0,2,0,3,1,6,1,3,245000,1
5,5,0,0,1,1,3,1,6,0,2,126500,47
7,5,0,0,2,1,3,1,7,1,2,168500,14
8,5,0,0,2,1,4,1,9,1,2,260000,15
6,5,0,0,2,1,3,1,6,1,2,174000,4
6,5,0,0,2,1,2,1,4,0,2,164500,0
3,2,0,0,1,0,2,1,6,0,0,85000,94
4,5,1,0,1,0,3,1,5,0,0,123600,13
4,5,0,0,1,0,2,1,4,0,2,109900,56
5,3,0,0,1,0,2,1,6,0,2,98600,45
5,7,1,0,1,0,2,1,5,0,2,163500,88
6,6,0,1,2,0,4,2,9,1,2,133900,97
6,5,1,0,2,1,3,1,7,0,2,204750,10
6,8,0,0,2,1,3,1,6,1,2,185000,16
7,5,0,0,2,0,3,1,6,0,2,214000,7
4,5,1,0,1,0,3,1,6,0,1,94750,42
5,5,0,0,1,0,2,1,5,0,1,83000,90
4,5,1,0,1,1,3,1,6,0,0,128950,51
6,7,1,0,2,0,3,1,6,2,2,205000,33
6,5,0,0,2,1,3,1,7,1,2,178000,25
5,5,0,0,2,0,4,2,8,0,2,118964,30
7,5,0,0,2,0,3,1,6,0,3,198900,1
7,4,0,0,1,1,4,1,7,2,1,169500,76
8,5,0,0,2,1,3,1,9,1,2,250000,5
4,7,0,0,1,0,2,1,6,0,1,100000,122
5,5,0,0,1,0,2,1,5,0,1,115000,60
5,7,0,0,2,0,3,1,7,0,0,115000,88
